CMDLINE C:\Users\ddsdi\.virtualenvs\High_Performance_Concepts_in_Python-45__Ubn2\Scripts\python.exe lineprofile_julia.py
MEM 2.507812 1652070844.7053
MEM 3.933594 1652070844.8150
MEM 3.933594 1652070844.9268
MEM 3.933594 1652070845.0365
MEM 3.933594 1652070845.1462
MEM 3.933594 1652070845.2579
MEM 3.933594 1652070845.3666
MEM 3.933594 1652070845.4773
MEM 3.933594 1652070845.5879
MEM 3.933594 1652070845.6977
MEM 3.933594 1652070845.8094
MEM 3.933594 1652070845.9161
MEM 3.933594 1652070846.0258
MEM 3.933594 1652070846.1355
MEM 3.933594 1652070846.2442
MEM 3.933594 1652070846.3539
MEM 3.933594 1652070846.4616
MEM 3.933594 1652070846.5694
MEM 3.933594 1652070846.6791
MEM 3.933594 1652070846.7908
MEM 3.933594 1652070846.9015
MEM 3.933594 1652070847.0112
MEM 3.933594 1652070847.1209
MEM 3.933594 1652070847.2286
MEM 3.933594 1652070847.3383
MEM 3.933594 1652070847.4470
MEM 3.933594 1652070847.5577
MEM 3.933594 1652070847.6654
MEM 3.933594 1652070847.7761
MEM 3.933594 1652070847.8858
MEM 3.933594 1652070847.9936
MEM 3.933594 1652070848.1023
MEM 3.933594 1652070848.2130
MEM 3.933594 1652070848.3237
MEM 3.933594 1652070848.4334
MEM 3.933594 1652070848.5421
MEM 3.933594 1652070848.6498
MEM 3.933594 1652070848.7595
MEM 3.933594 1652070848.8692
MEM 3.933594 1652070848.9799
MEM 3.933594 1652070849.0866
MEM 3.933594 1652070849.1973
MEM 3.933594 1652070849.3070
MEM 3.933594 1652070849.4158
MEM 3.933594 1652070849.5254
MEM 3.933594 1652070849.6342
MEM 3.933594 1652070849.7449
MEM 3.933594 1652070849.8536
MEM 3.933594 1652070849.9633
MEM 3.933594 1652070850.0700
MEM 3.933594 1652070850.1807
FUNC __main__.calculate_juliaset_serial_expanded 98.2891 1652070845.0833 109.0391 1652070851.1132 0
MEM 3.933594 1652070850.2914
MEM 3.933594 1652070850.4001
MEM 3.933594 1652070850.5098
MEM 3.933594 1652070850.6185
MEM 3.933594 1652070850.7282
MEM 3.933594 1652070850.8379
MEM 3.933594 1652070850.9477
MEM 3.933594 1652070851.0554
